S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency Name,State,Serial No.
5,JILA JEET BHARTIY,Bahujan Awam Party,3294,5,3299,0.33,Phulpur,Uttar Pradesh,8109
6,SUNIL KUMAR PRAJAPATI,Bhagidari Party(P),3040,7,3047,0.3,Phulpur,Uttar Pradesh,8110
7,ENGG YOGESH KUSHWAHA,Pragatisheel Samaj Party,2768,3,2771,0.27,Phulpur,Uttar Pradesh,8111
8,AKHILESH TRIPATHI,Independent,2295,3,2298,0.23,Phulpur,Uttar Pradesh,8112
9,NAFIS AHAMAD,Independent,2145,2,2147,0.21,Phulpur,Uttar Pradesh,8113
10,DR NEERAJ,Independent,1702,8,1710,0.17,Phulpur,Uttar Pradesh,8114
11,SANJEEV KUMAR MISHRA,Yuva Vikas Party,1675,4,1679,0.17,Phulpur,Uttar Pradesh,8115
12,MUSHIR AHMAD SIDDIQUI,Peoples Party of India (Democratic),1505,1,1506,0.15,Phulpur,Uttar Pradesh,8116
13,SANGEETA YADAV,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),1283,8,1291,0.13,Phulpur,Uttar Pradesh,8117
14,LALA RAM SAROJ,Prabuddhwadi Bahujan Morcha,1043,9,1052,0.1,Phulpur,Uttar Pradesh,8118
15,PRAMOD BHAI PATEL URF P K,Sardar Patel Siddhant Party,947,1,948,0.09,Phulpur,Uttar Pradesh,8119
16,NOTA,None of the Above,5445,15,5460,0.54,Phulpur,Uttar Pradesh,8120
1,JITIN PRASADA,Bharatiya Janata Party,605199,1959,607158,52.3,Pilibhit,Uttar Pradesh,8121
2,BHAGWAT SARAN GANGWAR,Samajwadi Party,439735,2488,442223,38.09,Pilibhit,Uttar Pradesh,8122
3,ANIS AHMED KHAN (PHOOL BABU),Bahujan Samaj Party,89252,445,89697,7.73,Pilibhit,Uttar Pradesh,8123
4,RAJEEV KUMAR SAXENA,Bhartiya Krishak Dal,3800,9,3809,0.33,Pilibhit,Uttar Pradesh,8124
5,SUSHIL KUMAR SHUKLA,Independent,2723,4,2727,0.23,Pilibhit,Uttar Pradesh,8125
6,MOHMMAD SHAHID HUSAIN,Independent,1842,4,1846,0.16,Pilibhit,Uttar Pradesh,8126
7,ASHISH KUMAR,Independent,1842,8,1850,0.16,Pilibhit,Uttar Pradesh,8127
8,ADARSH PANDEY,Independent,1714,12,1726,0.15,Pilibhit,Uttar Pradesh,8128
9,SANJAY KUMAR BHARTI,Rashtriya Samaj Dal (R),1621,10,1631,0.14,Pilibhit,Uttar Pradesh,8129
10,PRAMOD BHAI PATEL ALIAS P.K.,Independent,1525,14,1539,0.13,Pilibhit,Uttar Pradesh,8130
11,NOTA,None of the Above,6714,27,6741,0.58,Pilibhit,Uttar Pradesh,8131
1,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,439836,2096,441932,46.65,Pratapgarh,Uttar Pradesh,8132
2,SANGAM LAL GUPTA,Bharatiya Janata Party,374208,1518,375726,39.66,Pratapgarh,Uttar Pradesh,8133
3,PRATHMESH MISHRA 'SENANI',Bahujan Samaj Party,79872,272,80144,8.46,Pratapgarh,Uttar Pradesh,8134
4,SANDEEP SINGH,National Jan Dal,5270,16,5286,0.56,Pratapgarh,Uttar Pradesh,8135
5,ARUN KUMAR PANDEY,Hindustan Samaj Party,4984,7,4991,0.53,Pratapgarh,Uttar Pradesh,8136
6,SHIV RAM SHARMA,Moulik Adhikar Party,4709,2,4711,0.5,Pratapgarh,Uttar Pradesh,8137
7,AMAR SINGH,Independent,4135,3,4138,0.44,Pratapgarh,Uttar Pradesh,8138
8,SUNIL CHANDRA PAL,Rashtra Uday Party,3337,3,3340,0.35,Pratapgarh,Uttar Pradesh,8139
9,AJEET PRATAP,Independent,2581,-,2581,0.27,Pratapgarh,Uttar Pradesh,8140
10,VIJAY SINGH,Sanatan Sanskriti Raksha Dal,2457,2,2459,0.26,Pratapgarh,Uttar Pradesh,8141
11,RISHI PATEL,Apna Dal (Kamerawadi),2425,4,2429,0.26,Pratapgarh,Uttar Pradesh,8142
12,MAHESH KUMAR PRAJAPATI,Samajhdar Party,1963,1,1964,0.21,Pratapgarh,Uttar Pradesh,8143
13,DHANANJAY,Independent,1622,1,1623,0.17,Pratapgarh,Uttar Pradesh,8144
14,GEETA DEVI,Bhartiya Lokmat Rashtrwadi Party,1582,12,1594,0.17,Pratapgarh,Uttar Pradesh,8145
15,RAMSIDDH YADAV URF R.S.YADAV,Manavtawadi Samaj Party,1326,1,1327,0.14,Pratapgarh,Uttar Pradesh,8146
16,SUNIL KUMAR MISHRA,Independent,1134,2,1136,0.12,Pratapgarh,Uttar Pradesh,8147
17,SHANKAR SUMAN TIVARI,Independent,1128,1,1129,0.12,Pratapgarh,Uttar Pradesh,8148
18,DURGESH KUMAR,Rastriya Atal Janta Party,1113,3,1116,0.12,Pratapgarh,Uttar Pradesh,8149
19,RAM KUMAR YADAV,Socialist Unity Centre Of India (COMMUNIST),1070,1,1071,0.11,Pratapgarh,Uttar Pradesh,8150
20,SHIV PAL PATEL,Independent,1025,5,1030,0.11,Pratapgarh,Uttar Pradesh,8151
21,DHARMENDRA TIWARI,Log Party,992,1,993,0.1,Pratapgarh,Uttar Pradesh,8152
22,JOKHU PATEL,Sardar Patel Siddhant Party,969,2,971,0.1,Pratapgarh,Uttar Pradesh,8153
23,SHRAWAN KUMAR TRIPATHI,Independent,849,2,851,0.09,Pratapgarh,Uttar Pradesh,8154
24,DHYAN SINGH,Independent,675,3,678,0.07,Pratapgarh,Uttar Pradesh,8155
25,PRAMOD KUMAR,Independent,672,2,674,0.07,Pratapgarh,Uttar Pradesh,8156
26,MOHRAM ALI,Independent,501,2,503,0.05,Pratapgarh,Uttar Pradesh,8157
27,NOTA,None of the Above,2869,22,2891,0.31,Pratapgarh,Uttar Pradesh,8158
1,RAHUL GANDHI,Indian National Congress,686044,1605,687649,66.17,Rae Bareli,Uttar Pradesh,8159
2,DINESH PRATAP SINGH,Bharatiya Janata Party,296703,916,297619,28.64,Rae Bareli,Uttar Pradesh,8160
3,THAKUR PRASAD YADAV,Bahujan Samaj Party,21588,36,21624,2.08,Rae Bareli,Uttar Pradesh,8161
4,DILEEP SINGH,Akhil Bhartiya Apna Dal,8676,2,8678,0.84,Rae Bareli,Uttar Pradesh,8162
5,HORILAL,Independent,5397,2,5399,0.52,Rae Bareli,Uttar Pradesh,8163
6,SUDARSHAN RAM,Bhartiya Panchsheel Party,4343,2,4345,0.42,Rae Bareli,Uttar Pradesh,8164
7,HIND ROHITASH,Manavtawadi Samaj Party,3859,-,3859,0.37,Rae Bareli,Uttar Pradesh,8165
8,MO MOBIN,Apna Dal (Kamerawadi),2173,1,2174,0.21,Rae Bareli,Uttar Pradesh,8166
9,NOTA,None of the Above,7861,11,7872,0.76,Rae Bareli,Uttar Pradesh,8167
1,MOHIBBULLAH,Samajwadi Party,481252,251,481503,49.74,Rampur,Uttar Pradesh,8168
2,GHANSHYAM SINGH LODHI,Bharatiya Janata Party,393154,915,394069,40.71,Rampur,Uttar Pradesh,8169
3,ZEESHAN KHAN,Bahujan Samaj Party,79561,131,79692,8.23,Rampur,Uttar Pradesh,8170
4,ARSHAD WARSI,Minorities Democratic Party,2919,8,2927,0.3,Rampur,Uttar Pradesh,8171
5,MEHMOOD PRACHA,Independent,2750,9,2759,0.28,Rampur,Uttar Pradesh,8172
6,SHIV PRASAD,Independent,1465,11,1476,0.15,Rampur,Uttar Pradesh,8173
7,NOTA,None of the Above,5643,10,5653,0.58,Rampur,Uttar Pradesh,8174
1,CHHOTELAL,Samajwadi Party,465240,608,465848,46.14,Robertsganj,Uttar Pradesh,8175
2,RINKI SINGH,Apna Dal (Soneylal),336344,270,336614,33.34,Robertsganj,Uttar Pradesh,8176
3,DHANESHWAR,Bahujan Samaj Party,118669,109,118778,11.77,Robertsganj,Uttar Pradesh,8177
4,ASHOK KUMAR KANNAUJIYA,Communist Party of India,23830,22,23852,2.36,Robertsganj,Uttar Pradesh,8178
5,SUBHAGI,Janhit Sankalp Party,8191,3,8194,0.81,Robertsganj,Uttar Pradesh,8179
6,ARVIND KUMAR BHARTI,Rashtriya Samanta Dal,7583,9,7592,0.75,Robertsganj,Uttar Pradesh,8180
7,SUKALU,Independent,6701,11,6712,0.66,Robertsganj,Uttar Pradesh,8181
8,SHIVPUJAN,Rashtriya Samaj Paksha,6422,22,6444,0.64,Robertsganj,Uttar Pradesh,8182
9,SONU NIGAM,Independent,6142,2,6144,0.61,Robertsganj,Uttar Pradesh,8183
10,CHANDRIKA PRASAD,Janta Kranti Party (Rashtravadi),3732,9,3741,0.37,Robertsganj,Uttar Pradesh,8184
11,PRABHUDAYAL,Rashtriya Samaj Dal (R),3470,1,3471,0.34,Robertsganj,Uttar Pradesh,8185
12,RAM SHIROMANI,Sardar Patel Siddhant Party,3116,7,3123,0.31,Robertsganj,Uttar Pradesh,8186
13,NOTA,None of the Above,19019,13,19032,1.89,Robertsganj,Uttar Pradesh,8187
1,IMRAN MASOOD,Indian National Congress,547383,584,547967,44.57,Saharanpur,Uttar Pradesh,8188
2,RAGHAV LAKHANPAL,Bharatiya Janata Party,482120,1305,483425,39.32,Saharanpur,Uttar Pradesh,8189
3,MAJID ALI,Bahujan Samaj Party,179994,359,180353,14.67,Saharanpur,Uttar Pradesh,8190
4,MOHD INAM,Akhil Bhartiya Parivar Party,5392,8,5400,0.44,Saharanpur,Uttar Pradesh,8191
5,SHABNAM,Independent,2370,3,2373,0.19,Saharanpur,Uttar Pradesh,8192
6,SHAHBAJ,Independent,1696,2,1698,0.14,Saharanpur,Uttar Pradesh,8193
