S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency Name,State,Serial No.
6,DR. RAHUL VASUDEVBHAI VYAS,Independent,2731,21,2752,0.23,Vadodara,Gujarat,274
7,PARMAR MAYURSINH ARVINDSINH,Independent,2122,86,2208,0.18,Vadodara,Gujarat,275
8,NILKANTHKUMAR MANSUKHLAL MISTRI,Independent,1748,8,1756,0.14,Vadodara,Gujarat,276
9,PARMAR HEMANTKUMAR ARVINDBHAI,Independent,1388,23,1411,0.12,Vadodara,Gujarat,277
10,TAPAN DASGUPTA,Socialist Unity Centre Of India (COMMUNIST),1252,23,1275,0.11,Vadodara,Gujarat,278
11,ATUL GAMECHI,Independent,1061,23,1084,0.09,Vadodara,Gujarat,279
12,PARTHIV VIJAYKUMAR DAVE,Right to Recall Party,1052,5,1057,0.09,Vadodara,Gujarat,280
13,NILESH JAGANNATH VASAIKAR,Independent,840,18,858,0.07,Vadodara,Gujarat,281
14,DOSHI HARDIK BIPINBHAI,Satyawadi Rakshak Party,643,14,657,0.05,Vadodara,Gujarat,282
15,NOTA,None of the Above,17823,565,18388,1.52,Vadodara,Gujarat,283
1,DHAVAL LAXMANBHAI  PATEL,Bharatiya Janata Party,760935,3291,764226,56.13,Valsad,Gujarat,284
2,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,547307,6215,553522,40.66,Valsad,Gujarat,285
3,MANAKBHAI JATRUBHAI SHANKAR,Bahujan Samaj Party,7487,12,7499,0.55,Valsad,Gujarat,286
4,RAMANBHAI KARSHANBHAI PATEL,Independent,6732,13,6745,0.5,Valsad,Gujarat,287
5,JAYANTIBHAI KHANDUBHAI SHALUA,Viro Ke Vir Indian Party,4763,11,4774,0.35,Valsad,Gujarat,288
6,CHIRAGKUMAR BHARATBHAI  PATEL,Independent,3431,9,3440,0.25,Valsad,Gujarat,289
7,UMESHBHAI MAGANBHAI PATEL,Bahujan Republican  Socialist Party,2813,19,2832,0.21,Valsad,Gujarat,290
8,NOTA,None of the Above,18169,204,18373,1.35,Valsad,Gujarat,291
