S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency Name,State,Serial No.
7,RAKESH SINGH THAKUR,Independent,10340,6,10346,0.67,MANDLA,Madhya Pradesh,226
8,DR. BHAW SINGH TEKAM,Independent,6393,8,6401,0.42,MANDLA,Madhya Pradesh,227
9,CHARAN SINGH DHURWEY,Bharat Adivasi Party,4269,18,4287,0.28,MANDLA,Madhya Pradesh,228
10,ADVOCATE-DEV SINGH KUMRE,Independent,4205,12,4217,0.27,MANDLA,Madhya Pradesh,229
11,GHUR SINGH SALLAM,Independent,3959,12,3971,0.26,MANDLA,Madhya Pradesh,230
12,KALIYA BAI KAKODIA,Independent,2990,11,3001,0.2,MANDLA,Madhya Pradesh,231
13,ASHOK SARAIYA,Independent,2717,10,2727,0.18,MANDLA,Madhya Pradesh,232
14,RAMKUMAR INWATI [ADVOCATE],Smart Indians Party,2499,11,2510,0.16,MANDLA,Madhya Pradesh,233
15,NOTA,None of the Above,18887,34,18921,1.23,MANDLA,Madhya Pradesh,234
1,SUDHEER GUPTA,Bharatiya Janata Party,942249,3512,945761,65.98,MANDSOUR,Madhya Pradesh,235
2,DILIP SINGH GURJAR,Indian National Congress,443622,1484,445106,31.05,MANDSOUR,Madhya Pradesh,236
3,KANHAIYALAL MALVIYA,Bahujan Samaj Party,10456,56,10512,0.73,MANDSOUR,Madhya Pradesh,237
4,ISMAIL KHAN MAIV,Independent,8810,16,8826,0.62,MANDSOUR,Madhya Pradesh,238
5,SUSHIL,Independent,3432,7,3439,0.24,MANDSOUR,Madhya Pradesh,239
6,SAEED AHAMAD,Independent,3165,2,3167,0.22,MANDSOUR,Madhya Pradesh,240
7,MURALIDHAR,Independent,2682,14,2696,0.19,MANDSOUR,Madhya Pradesh,241
8,VIJAY RANN,Independent,2314,9,2323,0.16,MANDSOUR,Madhya Pradesh,242
9,NOTA,None of the Above,11615,47,11662,0.81,MANDSOUR,Madhya Pradesh,243
1,SHIVMANGAL SINGH TOMAR,Bharatiya Janata Party,513136,2341,515477,43.41,MORENA,Madhya Pradesh,244
2,NEETU SATYAPAL SINGH SIKARWAR,Indian National Congress,461808,1139,462947,38.99,MORENA,Madhya Pradesh,245
3,RAMESH GARG,Bahujan Samaj Party,179492,177,179669,15.13,MORENA,Madhya Pradesh,246
4,NEERAJ CHANDSORIYA,Aazad Samaj Party (Kanshi Ram),7534,10,7544,0.64,MORENA,Madhya Pradesh,247
5,RAJENDRA PRASAD KUSHWAH,Independent,2392,10,2402,0.2,MORENA,Madhya Pradesh,248
6,ER. SURAJ KUSHWAH,Independent,2279,6,2285,0.19,MORENA,Madhya Pradesh,249
7,RAMNIWASH,Independent,1970,3,1973,0.17,MORENA,Madhya Pradesh,250
8,RAM SUNDER SHARMA,Independent,1762,5,1767,0.15,MORENA,Madhya Pradesh,251
9,RAMSEVAK SAKHWAR,Independent,1630,2,1632,0.14,MORENA,Madhya Pradesh,252
10,HARIKANTH,Independent,1623,-,1623,0.14,MORENA,Madhya Pradesh,253
11,RAJKUMARI,Independent,1435,6,1441,0.12,MORENA,Madhya Pradesh,254
12,ANOOP NAGAR,Independent,1308,9,1317,0.11,MORENA,Madhya Pradesh,255
13,RAJENDRA SINGH GURJER,Independent,1199,11,1210,0.1,MORENA,Madhya Pradesh,256
14,PIYUSH BRAJESH RAJORIYA,Independent,572,3,575,0.05,MORENA,Madhya Pradesh,257
15,PRABHU JATAV,Independent,547,8,555,0.05,MORENA,Madhya Pradesh,258
16,NOTA,None of the Above,4899,15,4914,0.41,MORENA,Madhya Pradesh,259
1,RODMAL NAGAR,Bharatiya Janata Party,756139,2604,758743,53.1,RAJGARH,Madhya Pradesh,260
2,DIGVIJAYA SINGH,Indian National Congress,610602,2052,612654,42.87,RAJGARH,Madhya Pradesh,261
3,DR. RAJENDRA SURYAVANSHI,Bahujan Samaj Party,13902,40,13942,0.98,RAJGARH,Madhya Pradesh,262
4,ASHOK PAWAR,Samata Samadhan Party,6597,17,6614,0.46,RAJGARH,Madhya Pradesh,263
5,JITENDRA SINGH,National World Leader Party,5051,12,5063,0.35,RAJGARH,Madhya Pradesh,264
6,DINESH RAZAWAT,Aazad Samaj Party (Kanshi Ram),4170,9,4179,0.29,RAJGARH,Madhya Pradesh,265
7,RODMAL,Independent,3733,11,3744,0.26,RAJGARH,Madhya Pradesh,266
8,ANIL JAIN,Independent,3069,20,3089,0.22,RAJGARH,Madhya Pradesh,267
9,RADHESHYAM MALVIYA,Independent,2796,3,2799,0.2,RAJGARH,Madhya Pradesh,268
10,SUNEEL BHEEL,Independent,2703,10,2713,0.19,RAJGARH,Madhya Pradesh,269
11,VISHAL SONI (ADVOCATE),Bharatiya Yuva Jan Ekta Party,2544,16,2560,0.18,RAJGARH,Madhya Pradesh,270
12,JAGDISH KARPENTER,Independent,1730,4,1734,0.12,RAJGARH,Madhya Pradesh,271
13,ANIL,Independent,1414,4,1418,0.1,RAJGARH,Madhya Pradesh,272
14,RAMCHARAN PIRJAPATI,Lok Samaj Party,1292,2,1294,0.09,RAJGARH,Madhya Pradesh,273
15,BABU SINGH,Sajag Samaj Party,1186,5,1191,0.08,RAJGARH,Madhya Pradesh,274
16,NOTA,None of the Above,7248,12,7260,0.51,RAJGARH,Madhya Pradesh,275
