S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency Name,State,Serial No.
6,JAVEED AHAMED BELGAUMKAR.,Naki Bharatiya Ekta Party,3551,7,3558,0.26,Dharwad,Karnataka,294
7,SHARANABASAV GONAVAR,Socialist Unity Centre Of India (COMMUNIST),1148,19,1167,0.09,Dharwad,Karnataka,295
8,BALANAGOUDRA MALLIKARJUNAGOUDA,Independent,986,1,987,0.07,Dharwad,Karnataka,296
9,TAKAPPA YALLAPPA KALAL,Prahar Janshakti Party,901,4,905,0.07,Dharwad,Karnataka,297
10,BUGADI BASAVALINGAPPA IRAPPA,Uttama Prajaakeeya Party,796,4,800,0.06,Dharwad,Karnataka,298
11,NAGARAJ. KARENNAVAR.,Karnataka Rashtra Samithi,553,2,555,0.04,Dharwad,Karnataka,299
12,PRAVEEN H. H.,Independent,545,3,548,0.04,Dharwad,Karnataka,300
13,DR. GURAPPA H IMRAPUR,Independent,510,4,514,0.04,Dharwad,Karnataka,301
14,BANKAPUR SHOUKATALI,Tipu Sultan Party,464,9,473,0.03,Dharwad,Karnataka,302
15,VINOD DASHARATH GHODKE,"Proutist Bloc, India",409,2,411,0.03,Dharwad,Karnataka,303
16,VENKATESH PRASAD. H,Indian Labour Party (Ambedkar Phule),334,3,337,0.02,Dharwad,Karnataka,304
17,MOHAMMED ISMAIL MUKTI,Bharatiya Prajagala Kalyana Paksha,313,4,317,0.02,Dharwad,Karnataka,305
18,NOTA,None of the Above,6126,21,6147,0.45,Dharwad,Karnataka,306
1,RADHAKRISHNA,Indian National Congress,650623,1698,652321,49.78,Gulbarga,Karnataka,307
2,DR. UMESH G JADHAV,Bharatiya Janata Party,622615,2501,625116,47.7,Gulbarga,Karnataka,308
3,HUCHESHWARA WATHAR GOUR,Bahujan Samaj Party,7871,17,7888,0.6,Gulbarga,Karnataka,309
4,SUNDAR,Independent,3675,2,3677,0.28,Gulbarga,Karnataka,310
5,JYOTI RAMESH CHAVAN,Independent,2787,18,2805,0.21,Gulbarga,Karnataka,311
6,SHARANAPPA (PINTU),Independent,1879,5,1884,0.14,Gulbarga,Karnataka,312
7,TARABAI BHOVI,Independent,1546,4,1550,0.12,Gulbarga,Karnataka,313
8,RAMESH BHIMSING CHAVAN,Independent,1332,2,1334,0.1,Gulbarga,Karnataka,314
9,ANAND SINNUR,Independent,1271,9,1280,0.1,Gulbarga,Karnataka,315
10,NAGENDRA RAO,Uttama Prajaakeeya Party,1211,15,1226,0.09,Gulbarga,Karnataka,316
11,S.M.SHARMA,Socialist Unity Centre Of India (COMMUNIST),1136,8,1144,0.09,Gulbarga,Karnataka,317
12,RAJKUMAR,BhartiyaBahujanKranti Dal,702,7,709,0.05,Gulbarga,Karnataka,318
13,VIJAY JADHAV,Karnataka Rashtra Samithi,555,5,560,0.04,Gulbarga,Karnataka,319
14,B. VIJAYKUMAR CHINCHANSOORKAR,Prahar Janshakti Party,548,6,554,0.04,Gulbarga,Karnataka,320
15,NOTA,None of the Above,8416,13,8429,0.64,Gulbarga,Karnataka,321
1,SHREYAS. M. PATEL,Indian National Congress,670274,2714,672988,49.67,Hassan,Karnataka,322
2,PRAJWAL REVANNA,Janata Dal  (Secular),626536,3803,630339,46.52,Hassan,Karnataka,323
3,GANGADHAR BAHUJAN,Bahujan Samaj Party,12068,105,12173,0.9,Hassan,Karnataka,324
4,DEVARAJ M.Y,Karnataka Rashtra Samithi,6033,24,6057,0.45,Hassan,Karnataka,325
5,H D REVANNA,Purvanchal Mahapanchayat,4256,16,4272,0.32,Hassan,Karnataka,326
6,BASAVARAJU J.D (EX-ARMY),Independent,3983,80,4063,0.3,Hassan,Karnataka,327
7,SANTHOSH B.N,Independent,3444,5,3449,0.25,Hassan,Karnataka,328
8,HEMANTH GAVEESH,Independent,3277,4,3281,0.24,Hassan,Karnataka,329
9,PRATHAPA K.A,Uttama Prajaakeeya Party,3213,37,3250,0.24,Hassan,Karnataka,330
10,S.K. NINGARAJA,Bahujan Bharat Party,1710,20,1730,0.13,Hassan,Karnataka,331
11,B.N. SURESHA (SURESHGOWDA),Independent,1409,9,1418,0.1,Hassan,Karnataka,332
12,SIDDABHOVI,Independent,940,47,987,0.07,Hassan,Karnataka,333
13,SHIVARAJ. B,Republican Party of India Bharatha,843,5,848,0.06,Hassan,Karnataka,334
14,R.G. SATHISHA RAMEDEVARAPURA,Independent,823,46,869,0.06,Hassan,Karnataka,335
15,K.R. GANGADHARAPPA,Independent,734,8,742,0.05,Hassan,Karnataka,336
16,NOTA,None of the Above,8470,71,8541,0.63,Hassan,Karnataka,337
1,BASAVARAJ BOMMAI,Bharatiya Janata Party,702189,3349,705538,50.55,Haveri,Karnataka,338
2,ANANDSWAMY GADDADEVARMATH,Indian National Congress,660191,1834,662025,47.43,Haveri,Karnataka,339
3,SUNANDA KARIYAPPA SHIRHATTI,Independent,4705,2,4707,0.34,Haveri,Karnataka,340
4,KHAJAMOHIDDIN GUDAGERI,Socialist Party (India),3398,3,3401,0.24,Haveri,Karnataka,341
5,GANGADHAR BADIGER,Socialist Unity Centre Of India (COMMUNIST),2264,6,2270,0.16,Haveri,Karnataka,342
6,RUDRAPPA BASAPPA KUMBAR,Independent,1352,4,1356,0.1,Haveri,Karnataka,343
7,BASAVARAJ B HADI,Independent,1065,6,1071,0.08,Haveri,Karnataka,344
8,PRAJAKEEYA SACHINKUMAR KARJEKANNAVAR,Uttama Prajaakeeya Party,1058,14,1072,0.08,Haveri,Karnataka,345
9,DR. G H IMRAPUR,Independent,930,23,953,0.07,Haveri,Karnataka,346
10,JAGADISH YALLAPPA BANKAPURA,Independent,660,14,674,0.05,Haveri,Karnataka,347
11,TANU CHIKKANNA YADAV,Karnataka Rashtra Samithi,628,8,636,0.05,Haveri,Karnataka,348
12,H K NARASIMHAPPA,Samajwadi Janata Party(Karnataka),445,1,446,0.03,Haveri,Karnataka,349
13,VISHWANATH SHEERI,Ekam Sanatan Bharat Dal,401,-,401,0.03,Haveri,Karnataka,350
14,RASHEEDA BEGUM,Indian Movement Party,396,1,397,0.03,Haveri,Karnataka,351
15,NOTA,None of the Above,10831,34,10865,0.78,Haveri,Karnataka,352
1,M. MALLESH BABU,Janata Dal  (Secular),689185,2296,691481,51.02,Kolar,Karnataka,353
2,K V GOWTHAM,Indian National Congress,618700,1393,620093,45.76,Kolar,Karnataka,354
3,SUMAN H N,Independent,6484,3,6487,0.48,Kolar,Karnataka,355
4,HOLUR SRINIVASA,Independent,6159,4,6163,0.45,Kolar,Karnataka,356
5,S B SURESHA,Bahujan Samaj Party,4688,44,4732,0.35,Kolar,Karnataka,357
6,K R DEVARAJA,Delhi Janta Party,4588,9,4597,0.34,Kolar,Karnataka,358
